time(d),H296,H082,H080,H341,Cs2145,Cs2976,Cs2980,Cs3090,Cs3091,Cs3102
29.167 ,3442.879 ,69.943 ,-81.348 ,8391.648 ,-141.949 ,958.832 ,-262.627 ,334.613 ,-36.439 ,-233.252 
29.208 ,3447.791 ,70.036 ,-81.540 ,8403.773 ,-142.429 ,960.246 ,-263.075 ,335.509 ,-36.404 ,-234.289 
29.250 ,3452.737 ,70.150 ,-81.624 ,8415.902 ,-142.348 ,962.234 ,-263.031 ,335.579 ,-36.379 ,-234.565 
29.292 ,3457.657 ,70.253 ,-81.765 ,8428.065 ,-143.078 ,964.944 ,-263.661 ,335.712 ,-36.610 ,-234.508 
29.333 ,3462.597 ,70.383 ,-81.879 ,8440.221 ,-143.235 ,967.290 ,-263.710 ,336.116 ,-37.074 ,-234.747 
29.375 ,3467.513 ,70.497 ,-82.012 ,8452.363 ,-142.266 ,968.525 ,-264.979 ,336.667 ,-36.813 ,-234.701 
29.417 ,3472.433 ,70.594 ,-82.194 ,8464.499 ,-142.614 ,969.531 ,-265.573 ,337.066 ,-37.210 ,-235.976 
29.458 ,3477.305 ,70.668 ,-82.419 ,8476.587 ,-142.804 ,970.793 ,-266.018 ,337.047 ,-36.873 ,-236.331 
29.500 ,3482.245 ,70.782 ,-82.544 ,8488.702 ,-142.218 ,972.089 ,-265.926 ,337.554 ,-36.512 ,-237.112 
29.542 ,3487.152 ,70.874 ,-82.682 ,8500.819 ,-141.984 ,973.068 ,-265.199 ,337.538 ,-36.542 ,-237.072 
29.583 ,3492.049 ,70.972 ,-82.891 ,8512.823 ,-142.250 ,973.993 ,-266.154 ,338.275 ,-36.794 ,-237.495 
29.625 ,3496.915 ,71.026 ,-83.059 ,8525.016 ,-141.729 ,976.261 ,-266.938 ,339.106 ,-37.418 ,-238.428 
29.667 ,3501.798 ,71.096 ,-83.279 ,8537.107 ,-141.835 ,978.369 ,-267.060 ,338.932 ,-37.521 ,-239.361 
29.708 ,3506.684 ,71.167 ,-83.439 ,8549.230 ,-143.465 ,979.270 ,-267.624 ,339.195 ,-36.965 ,-239.519 
29.750 ,3511.539 ,71.232 ,-83.637 ,8561.350 ,-143.083 ,979.655 ,-267.789 ,340.326 ,-37.185 ,-240.143 
29.792 ,3516.471 ,71.308 ,-83.770 ,8573.446 ,-142.614 ,980.366 ,-268.771 ,340.014 ,-37.787 ,-241.670 
29.833 ,3521.394 ,71.381 ,-83.936 ,8585.525 ,-143.221 ,981.106 ,-268.267 ,340.690 ,-38.186 ,-241.960 
29.875 ,3526.220 ,71.441 ,-84.109 ,8597.616 ,-142.229 ,982.408 ,-269.664 ,340.937 ,-38.289 ,-243.148 
29.917 ,3531.193 ,71.544 ,-84.196 ,8609.774 ,-142.937 ,982.547 ,-270.681 ,341.213 ,-38.316 ,-243.702 
29.958 ,3536.084 ,71.671 ,-84.429 ,8621.878 ,-143.338 ,983.151 ,-271.172 ,341.094 ,-38.566 ,-244.429 
30.000 ,3541.031 ,71.761 ,-84.562 ,8633.976 ,-142.557 ,983.816 ,-271.180 ,341.759 ,-37.909 ,-244.382 
30.042 ,3545.898 ,71.853 ,-84.733 ,8646.107 ,-142.329 ,985.327 ,-271.191 ,342.141 ,-38.080 ,-245.476 
30.083 ,3550.908 ,72.013 ,-84.779 ,8658.366 ,-142.473 ,987.050 ,-272.146 ,343.229 ,-38.031 ,-246.208 
30.125 ,3555.856 ,72.173 ,-84.926 ,8670.532 ,-142.701 ,987.844 ,-272.889 ,344.070 ,-38.178 ,-246.772 
30.167 ,3560.845 ,72.358 ,-84.950 ,8682.764 ,-143.354 ,989.903 ,-272.995 ,343.462 ,-38.088 ,-246.889 
30.208 ,3565.866 ,72.539 ,-85.029 ,8694.990 ,-143.243 ,992.168 ,-273.622 ,344.007 ,-37.682 ,-248.085 
30.250 ,3570.822 ,72.686 ,-85.064 ,8707.229 ,-143.859 ,993.747 ,-273.603 ,344.102 ,-37.665 ,-248.319 
30.292 ,3575.840 ,72.881 ,-85.113 ,8719.387 ,-143.824 ,994.854 ,-274.758 ,345.109 ,-37.578 ,-249.306 
30.333 ,3580.807 ,73.063 ,-85.232 ,8731.600 ,-143.889 ,996.856 ,-274.286 ,346.237 ,-37.852 ,-249.642 
30.375 ,3585.812 ,73.247 ,-85.232 ,8743.861 ,-144.982 ,998.136 ,-274.346 ,347.393 ,-38.259 ,-250.204 
30.417 ,3590.793 ,73.421 ,-85.368 ,8756.033 ,-144.494 ,999.425 ,-274.311 ,347.504 ,-38.555 ,-249.566 
30.458 ,3595.798 ,73.625 ,-85.430 ,8768.229 ,-144.849 ,1000.171 ,-275.163 ,348.109 ,-38.498 ,-250.150 
30.500 ,3600.784 ,73.828 ,-85.541 ,8780.474 ,-144.838 ,1001.364 ,-274.840 ,348.679 ,-37.956 ,-249.702 
30.542 ,3605.783 ,73.991 ,-85.577 ,8792.716 ,-145.695 ,1003.266 ,-274.815 ,349.593 ,-38.267 ,-250.131 
30.583 ,3610.763 ,74.162 ,-85.693 ,8804.902 ,-145.348 ,1004.280 ,-274.823 ,350.417 ,-38.647 ,-250.551 
30.625 ,3615.760 ,74.338 ,-85.750 ,8817.136 ,-145.519 ,1006.225 ,-275.312 ,351.839 ,-39.041 ,-250.318 
30.667 ,3620.738 ,74.509 ,-85.872 ,8829.405 ,-145.047 ,1007.395 ,-275.564 ,352.235 ,-39.453 ,-251.755 
30.708 ,3625.661 ,74.674 ,-85.940 ,8841.534 ,-144.968 ,1009.435 ,-276.703 ,352.615 ,-40.408 ,-252.949 
30.750 ,3630.634 ,74.818 ,-86.005 ,8853.711 ,-145.549 ,1011.344 ,-276.804 ,352.758 ,-40.136 ,-253.237 
30.792 ,3635.560 ,74.967 ,-86.122 ,8865.921 ,-145.633 ,1012.234 ,-277.276 ,353.342 ,-40.326 ,-253.193 
30.833 ,3640.516 ,75.103 ,-86.255 ,8878.076 ,-145.055 ,1014.529 ,-276.522 ,353.678 ,-40.641 ,-253.703 
30.875 ,3645.426 ,75.228 ,-86.385 ,8890.188 ,-145.774 ,1016.219 ,-277.552 ,354.535 ,-41.300 ,-255.049 
30.917 ,3650.417 ,75.363 ,-86.439 ,8902.460 ,-146.634 ,1016.799 ,-278.274 ,354.671 ,-40.953 ,-255.599 
30.958 ,3655.390 ,75.537 ,-86.586 ,8914.608 ,-146.411 ,1018.636 ,-278.939 ,354.842 ,-41.666 ,-255.616 
31.000 ,3660.340 ,75.667 ,-86.689 ,8926.777 ,-146.702 ,1020.559 ,-279.945 ,354.758 ,-40.820 ,-255.502 
31.042 ,3665.340 ,75.797 ,-86.825 ,8938.954 ,-147.516 ,1022.721 ,-279.826 ,355.243 ,-40.595 ,-256.055 
31.083 ,3670.231 ,75.928 ,-86.938 ,8951.150 ,-147.830 ,1022.835 ,-280.005 ,356.068 ,-41.089 ,-256.438 
31.125 ,3675.195 ,76.036 ,-87.050 ,8963.346 ,-147.025 ,1023.682 ,-280.374 ,355.930 ,-41.186 ,-256.438 
31.167 ,3680.102 ,76.147 ,-87.245 ,8975.472 ,-147.624 ,1024.560 ,-280.441 ,356.138 ,-40.646 ,-257.571 
31.208 ,3685.042 ,76.291 ,-87.329 ,8987.606 ,-148.435 ,1026.508 ,-281.201 ,356.852 ,-40.755 ,-257.289 
31.250 ,3690.006 ,76.408 ,-87.429 ,8999.807 ,-148.530 ,1027.634 ,-281.535 ,358.292 ,-40.524 ,-256.481 
31.292 ,3694.951 ,76.497 ,-87.655 ,9011.928 ,-149.469 ,1030.374 ,-281.334 ,359.087 ,-40.535 ,-256.844 
31.333 ,3699.853 ,76.630 ,-87.779 ,9024.075 ,-149.463 ,1031.562 ,-281.206 ,360.734 ,-39.930 ,-257.285 
31.375 ,3705.468 ,77.390 ,-87.248 ,9036.974 ,-148.956 ,1033.607 ,-280.707 ,362.814 ,-39.325 ,-257.726 
31.417 ,3709.727 ,76.812 ,-88.059 ,9048.435 ,-150.258 ,1033.995 ,-281.008 ,362.535 ,-39.740 ,-258.347 
31.458 ,3714.618 ,76.915 ,-88.194 ,9060.612 ,-150.543 ,1034.852 ,-281.809 ,362.665 ,-40.128 ,-258.610 
31.500 ,3719.561 ,77.032 ,-88.306 ,9072.797 ,-150.657 ,1036.911 ,-281.429 ,363.403 ,-40.202 ,-259.085 
31.542 ,3724.476 ,77.167 ,-88.441 ,9084.961 ,-150.974 ,1038.965 ,-281.581 ,362.958 ,-40.020 ,-259.709 
31.583 ,3729.383 ,77.289 ,-88.582 ,9097.081 ,-151.205 ,1040.332 ,-281.730 ,363.229 ,-39.928 ,-259.183 
31.625 ,3734.288 ,77.414 ,-88.707 ,9109.266 ,-151.769 ,1042.109 ,-282.576 ,364.268 ,-40.598 ,-259.063 
31.667 ,3739.279 ,77.536 ,-88.851 ,9121.376 ,-151.330 ,1043.028 ,-283.965 ,365.123 ,-39.618 ,-259.253 
31.708 ,3744.165 ,77.639 ,-89.003 ,9133.529 ,-151.552 ,1043.829 ,-284.456 ,365.847 ,-39.673 ,-260.496 
31.750 ,3749.140 ,77.778 ,-89.117 ,9145.755 ,-151.802 ,1045.939 ,-285.004 ,366.384 ,-39.551 ,-261.144 
31.792 ,3754.096 ,77.908 ,-89.236 ,9157.935 ,-151.753 ,1047.360 ,-286.105 ,367.108 ,-40.221 ,-262.055 
31.833 ,3759.044 ,78.041 ,-89.353 ,9170.147 ,-153.388 ,1048.296 ,-287.006 ,367.901 ,-39.979 ,-263.105 
31.875 ,3763.959 ,78.176 ,-89.488 ,9182.262 ,-153.738 ,1047.629 ,-286.884 ,368.088 ,-39.797 ,-263.184 
31.917 ,3768.853 ,78.279 ,-89.638 ,9194.472 ,-153.087 ,1049.824 ,-286.784 ,368.191 ,-39.054 ,-263.664 
31.958 ,3773.765 ,78.399 ,-89.781 ,9206.698 ,-153.275 ,1051.139 ,-287.161 ,367.939 ,-39.656 ,-263.835 
32.000 ,3778.700 ,78.510 ,-89.922 ,9218.867 ,-153.798 ,1052.604 ,-287.386 ,368.731 ,-39.032 ,-264.201 
32.042 ,3783.661 ,78.640 ,-90.050 ,9231.009 ,-154.015 ,1053.421 ,-287.831 ,369.856 ,-38.683 ,-264.017 
32.083 ,3788.568 ,78.768 ,-90.232 ,9243.202 ,-154.883 ,1055.319 ,-288.148 ,370.101 ,-37.787 ,-264.212 
32.125 ,3793.535 ,78.884 ,-90.362 ,9255.311 ,-154.946 ,1057.286 ,-288.395 ,371.381 ,-37.814 ,-264.711 
32.167 ,3798.429 ,78.990 ,-90.503 ,9267.432 ,-154.894 ,1058.444 ,-288.981 ,371.660 ,-37.565 ,-264.312 
32.208 ,3803.333 ,79.096 ,-90.658 ,9279.606 ,-155.423 ,1058.664 ,-289.187 ,372.558 ,-37.334 ,-264.527 
32.250 ,3808.241 ,79.210 ,-90.807 ,9291.775 ,-155.803 ,1059.144 ,-289.673 ,373.014 ,-36.979 ,-264.291 
32.292 ,3813.115 ,79.299 ,-90.937 ,9303.979 ,-156.264 ,1059.901 ,-289.111 ,373.806 ,-37.182 ,-264.708 
32.333 ,3818.004 ,79.321 ,-91.119 ,9316.111 ,-156.239 ,1060.994 ,-289.816 ,373.814 ,-36.775 ,-265.658 
32.375 ,3822.889 ,79.430 ,-91.252 ,9328.277 ,-156.315 ,1061.808 ,-291.010 ,375.114 ,-36.898 ,-266.000 
32.417 ,3827.859 ,79.546 ,-91.382 ,9340.470 ,-155.404 ,1063.116 ,-290.999 ,375.881 ,-37.218 ,-266.390 
32.458 ,3832.801 ,79.679 ,-91.507 ,9352.634 ,-155.295 ,1063.989 ,-290.920 ,376.011 ,-36.849 ,-267.031 
32.500 ,3837.733 ,79.801 ,-91.642 ,9364.836 ,-155.244 ,1064.738 ,-290.405 ,376.228 ,-37.131 ,-268.183 
32.542 ,3842.662 ,79.904 ,-91.786 ,9377.010 ,-155.754 ,1066.154 ,-290.739 ,376.749 ,-37.090 ,-269.155 
32.583 ,3847.604 ,80.010 ,-91.916 ,9389.147 ,-155.960 ,1067.551 ,-290.712 ,377.145 ,-36.778 ,-269.871 
32.625 ,3852.530 ,80.119 ,-92.057 ,9401.299 ,-155.903 ,1068.519 ,-291.582 ,377.406 ,-36.751 ,-269.277 
32.667 ,3857.462 ,80.238 ,-92.201 ,9413.520 ,-155.404 ,1069.998 ,-292.166 ,378.244 ,-36.976 ,-269.106 
32.708 ,3862.396 ,80.352 ,-92.329 ,9425.692 ,-155.957 ,1071.728 ,-291.845 ,379.142 ,-35.905 ,-269.488 
32.750 ,3867.317 ,80.455 ,-92.388 ,9437.893 ,-155.852 ,1072.360 ,-291.702 ,379.391 ,-35.731 ,-269.800 
32.792 ,3872.262 ,80.585 ,-92.513 ,9450.117 ,-154.766 ,1073.513 ,-292.266 ,379.291 ,-36.019 ,-270.188 
32.833 ,3877.189 ,80.724 ,-92.668 ,9462.283 ,-154.636 ,1074.840 ,-292.486 ,379.324 ,-35.197 ,-270.264 
32.875 ,3882.158 ,80.857 ,-92.795 ,9474.447 ,-154.400 ,1075.781 ,-292.551 ,379.229 ,-35.080 ,-270.896 
32.917 ,3887.082 ,80.984 ,-92.931 ,9486.675 ,-154.422 ,1076.782 ,-293.476 ,380.067 ,-34.641 ,-270.956 
32.958 ,3892.038 ,81.117 ,-93.053 ,9498.834 ,-154.479 ,1079.137 ,-294.368 ,380.772 ,-34.310 ,-271.238 
33.000 ,3896.961 ,81.239 ,-93.205 ,9511.049 ,-154.848 ,1079.799 ,-294.566 ,380.656 ,-34.608 ,-271.848 
33.042 ,3901.882 ,81.350 ,-93.316 ,9523.147 ,-155.217 ,1081.215 ,-295.120 ,381.507 ,-34.019 ,-271.783 
33.083 ,3906.787 ,81.470 ,-93.452 ,9535.278 ,-155.803 ,1082.536 ,-296.641 ,381.393 ,-34.160 ,-272.955 
33.125 ,3911.686 ,81.581 ,-93.617 ,9547.583 ,-155.358 ,1084.256 ,-297.897 ,381.971 ,-34.475 ,-273.525 
33.167 ,3916.631 ,81.714 ,-93.734 ,9559.690 ,-155.431 ,1085.343 ,-298.497 ,381.697 ,-34.117 ,-273.574 
33.208 ,3921.617 ,81.866 ,-93.802 ,9571.913 ,-155.748 ,1087.340 ,-297.455 ,382.242 ,-34.174 ,-274.054 
33.250 ,3926.611 ,82.053 ,-93.831 ,9584.150 ,-155.605 ,1089.779 ,-297.944 ,382.834 ,-33.943 ,-274.501 
33.292 ,3931.616 ,82.256 ,-93.864 ,9596.403 ,-155.059 ,1090.402 ,-298.798 ,382.983 ,-33.086 ,-274.577 
33.333 ,3936.556 ,82.408 ,-93.937 ,9608.594 ,-155.171 ,1092.301 ,-299.284 ,383.908 ,-33.260 ,-275.163 
33.375 ,3941.520 ,82.533 ,-94.024 ,9620.803 ,-154.547 ,1092.730 ,-298.969 ,384.402 ,-32.717 ,-275.386 
33.417 ,3946.427 ,82.669 ,-94.095 ,9632.983 ,-153.483 ,1093.731 ,-299.213 ,383.816 ,-32.470 ,-275.817 
33.458 ,3951.361 ,82.766 ,-94.179 ,9645.125 ,-153.812 ,1094.781 ,-299.563 ,384.776 ,-33.103 ,-275.453 
33.500 ,3956.279 ,82.875 ,-94.276 ,9657.351 ,-154.077 ,1096.357 ,-300.388 ,384.863 ,-32.763 ,-275.467 
33.542 ,3961.219 ,82.975 ,-94.390 ,9669.526 ,-154.002 ,1097.691 ,-301.470 ,385.319 ,-32.205 ,-275.215 
33.583 ,3966.110 ,83.084 ,-94.488 ,9681.730 ,-154.707 ,1099.056 ,-301.448 ,385.842 ,-32.612 ,-275.988 
33.625 ,3971.044 ,83.187 ,-94.602 ,9693.867 ,-155.241 ,1099.900 ,-301.901 ,386.048 ,-31.988 ,-276.473 
33.667 ,3975.992 ,83.309 ,-94.721 ,9706.049 ,-155.700 ,1101.796 ,-302.243 ,386.499 ,-31.890 ,-276.932 
33.708 ,3980.927 ,83.425 ,-94.800 ,9718.305 ,-156.638 ,1103.941 ,-302.425 ,387.220 ,-30.992 ,-277.572 
33.750 ,3985.831 ,83.534 ,-94.911 ,9730.474 ,-157.338 ,1104.698 ,-303.331 ,387.239 ,-31.451 ,-278.028 
33.792 ,3990.709 ,83.667 ,-94.990 ,9742.619 ,-157.498 ,1106.470 ,-303.190 ,387.722 ,-31.838 ,-277.558 
33.833 ,3995.629 ,83.737 ,-95.095 ,9754.839 ,-157.506 ,1107.783 ,-303.629 ,388.284 ,-32.034 ,-278.155 
33.875 ,4000.520 ,83.813 ,-95.215 ,9766.968 ,-157.905 ,1109.877 ,-304.549 ,389.011 ,-32.050 ,-279.094 
33.917 ,4005.438 ,83.925 ,-95.337 ,9779.088 ,-158.648 ,1111.336 ,-303.822 ,388.840 ,-32.110 ,-278.741 
33.958 ,4010.359 ,84.017 ,-95.432 ,9791.379 ,-158.103 ,1112.939 ,-304.449 ,389.371 ,-31.638 ,-278.416 
34.000 ,4015.247 ,84.120 ,-95.538 ,9803.526 ,-158.567 ,1114.865 ,-304.598 ,390.394 ,-31.651 ,-277.876 
34.042 ,4020.204 ,84.239 ,-95.614 ,9815.695 ,-159.164 ,1116.412 ,-304.780 ,391.344 ,-31.749 ,-277.743 
34.083 ,4025.100 ,84.369 ,-95.711 ,9827.916 ,-159.400 ,1118.620 ,-305.932 ,391.778 ,-32.197 ,-278.771 
34.125 ,4030.051 ,84.483 ,-95.812 ,9840.061 ,-159.156 ,1120.350 ,-305.951 ,392.344 ,-32.335 ,-278.223 
34.167 ,4034.941 ,84.603 ,-95.931 ,9852.246 ,-159.080 ,1122.483 ,-305.922 ,392.901 ,-32.123 ,-278.353 
34.208 ,4039.922 ,84.725 ,-96.040 ,9864.510 ,-159.934 ,1123.809 ,-306.423 ,393.625 ,-32.864 ,-278.161 
34.250 ,4044.813 ,84.855 ,-96.140 ,9876.636 ,-159.744 ,1125.664 ,-307.449 ,394.577 ,-33.876 ,-277.911 
34.292 ,4049.761 ,84.931 ,-96.243 ,9888.856 ,-159.880 ,1127.666 ,-307.091 ,395.643 ,-34.141 ,-278.614 
34.333 ,4054.676 ,85.048 ,-96.370 ,9900.985 ,-159.742 ,1128.944 ,-307.348 ,396.088 ,-33.349 ,-278.936 
34.375 ,4059.564 ,85.153 ,-96.471 ,9913.181 ,-159.728 ,1130.968 ,-307.793 ,396.150 ,-33.463 ,-278.831 
34.417 ,4064.507 ,85.286 ,-96.563 ,9925.456 ,-159.809 ,1133.282 ,-308.482 ,396.156 ,-33.933 ,-278.421 
34.458 ,4069.460 ,85.381 ,-96.677 ,9937.557 ,-161.258 ,1133.930 ,-308.252 ,397.127 ,-33.979 ,-279.314 
34.500 ,4074.424 ,85.498 ,-96.777 ,9949.797 ,-161.426 ,1135.102 ,-309.538 ,397.878 ,-34.717 ,-279.598 
34.542 ,4079.288 ,85.620 ,-96.856 ,9961.987 ,-161.448 ,1137.020 ,-310.427 ,398.095 ,-34.649 ,-279.666 
34.583 ,4084.258 ,85.747 ,-96.937 ,9974.246 ,-162.020 ,1139.100 ,-309.638 ,398.434 ,-34.269 ,-279.840 
34.625 ,4089.130 ,85.875 ,-97.035 ,9986.447 ,-162.804 ,1140.063 ,-309.847 ,397.952 ,-33.547 ,-280.041 
34.667 ,4094.113 ,86.008 ,-97.108 ,9998.644 ,-162.934 ,1141.818 ,-310.153 ,398.497 ,-33.189 ,-280.138 
34.708 ,4099.083 ,86.130 ,-97.190 ,10010.848 ,-162.536 ,1143.451 ,-310.601 ,398.790 ,-33.168 ,-280.296 
34.750 ,4104.063 ,86.382 ,-97.179 ,10023.107 ,-161.822 ,1144.751 ,-310.829 ,399.311 ,-33.122 ,-280.182 
34.792 ,4109.000 ,86.450 ,-97.325 ,10035.202 ,-162.894 ,1145.906 ,-311.439 ,399.001 ,-33.241 ,-281.459 
34.833 ,4113.962 ,86.648 ,-97.377 ,10047.545 ,-162.506 ,1146.422 ,-310.951 ,399.302 ,-32.598 ,-281.136 
34.875 ,4118.915 ,86.781 ,-97.456 ,10059.779 ,-162.267 ,1147.312 ,-311.634 ,399.077 ,-32.934 ,-281.820 
34.917 ,4123.779 ,86.917 ,-97.553 ,10071.951 ,-162.197 ,1148.090 ,-311.946 ,399.742 ,-31.852 ,-281.383 
34.958 ,4128.770 ,87.028 ,-97.643 ,10084.150 ,-162.959 ,1150.190 ,-310.840 ,399.924 ,-32.034 ,-281.882 
35.000 ,4133.658 ,87.155 ,-97.727 ,10096.357 ,-163.387 ,1151.465 ,-310.506 ,400.209 ,-32.197 ,-282.772 
35.042 ,4138.582 ,87.253 ,-97.846 ,10108.569 ,-164.095 ,1152.759 ,-310.943 ,400.982 ,-32.511 ,-282.740 
35.083 ,4143.527 ,87.356 ,-97.933 ,10120.784 ,-164.955 ,1152.148 ,-311.507 ,402.167 ,-32.226 ,-283.214 
35.125 ,4148.475 ,87.489 ,-98.022 ,10133.021 ,-165.425 ,1154.636 ,-311.073 ,402.436 ,-31.784 ,-283.024 
35.167 ,4153.464 ,87.611 ,-98.109 ,10145.131 ,-165.671 ,1156.565 ,-311.013 ,402.097 ,-31.871 ,-283.383 
35.208 ,4158.417 ,87.763 ,-98.204 ,10157.354 ,-165.359 ,1158.477 ,-311.119 ,402.569 ,-31.638 ,-283.646 
35.250 ,4163.389 ,87.880 ,-98.291 ,10169.651 ,-165.400 ,1159.638 ,-311.545 ,403.100 ,-31.602 ,-283.608 
35.292 ,4168.302 ,88.007 ,-98.340 ,10181.811 ,-163.865 ,1162.017 ,-312.682 ,403.279 ,-31.977 ,-283.526 
35.333 ,4173.299 ,88.151 ,-98.432 ,10194.100 ,-163.930 ,1164.735 ,-313.254 ,404.014 ,-31.795 ,-283.857 
35.375 ,4178.187 ,88.276 ,-98.497 ,10206.356 ,-163.610 ,1167.540 ,-312.817 ,404.872 ,-32.112 ,-285.108 
35.417 ,4183.148 ,88.392 ,-98.592 ,10218.601 ,-164.603 ,1168.994 ,-313.248 ,405.745 ,-32.419 ,-285.756 
35.458 ,4188.094 ,88.520 ,-98.676 ,10230.721 ,-165.753 ,1170.329 ,-313.335 ,406.342 ,-32.945 ,-285.561 
35.500 ,4192.976 ,88.631 ,-98.771 ,10242.944 ,-166.065 ,1171.775 ,-313.449 ,406.944 ,-32.367 ,-285.119 
35.542 ,4197.954 ,88.745 ,-98.874 ,10255.192 ,-165.728 ,1173.521 ,-312.285 ,407.291 ,-32.519 ,-285.425 
35.583 ,4202.878 ,88.886 ,-98.972 ,10267.337 ,-165.951 ,1175.211 ,-312.402 ,407.264 ,-33.162 ,-285.281 
35.625 ,4207.847 ,89.008 ,-99.064 ,10279.557 ,-165.970 ,1176.823 ,-313.710 ,408.181 ,-32.842 ,-285.325 
35.667 ,4212.760 ,89.111 ,-99.148 ,10291.775 ,-165.848 ,1177.889 ,-313.398 ,408.338 ,-32.801 ,-284.918 
35.708 ,4217.757 ,89.239 ,-99.268 ,10304.020 ,-165.115 ,1178.263 ,-313.799 ,408.428 ,-32.129 ,-285.211 
35.750 ,4222.645 ,89.355 ,-99.382 ,10316.197 ,-165.671 ,1180.322 ,-313.715 ,409.136 ,-31.784 ,-284.481 
35.792 ,4227.579 ,89.480 ,-99.466 ,10328.391 ,-165.156 ,1181.063 ,-312.969 ,409.952 ,-31.947 ,-284.072 
35.833 ,4232.533 ,89.597 ,-99.542 ,10340.695 ,-165.739 ,1183.368 ,-312.785 ,410.026 ,-31.583 ,-284.335 
35.875 ,4237.432 ,89.738 ,-99.623 ,10352.889 ,-166.306 ,1185.167 ,-312.692 ,410.302 ,-30.949 ,-284.443 
35.917 ,4242.415 ,89.841 ,-99.734 ,10365.066 ,-167.619 ,1186.363 ,-312.158 ,410.780 ,-31.413 ,-285.078 
35.958 ,4247.338 ,89.968 ,-99.810 ,10377.292 ,-168.303 ,1187.250 ,-311.824 ,410.856 ,-31.223 ,-285.783 
36.000 ,4252.289 ,90.085 ,-99.938 ,10389.448 ,-168.061 ,1189.057 ,-312.429 ,411.550 ,-31.464 ,-285.669 
36.042 ,4257.183 ,90.221 ,-100.041 ,10401.611 ,-167.673 ,1190.484 ,-311.328 ,411.789 ,-31.025 ,-285.515 
36.083 ,4262.147 ,90.332 ,-100.128 ,10413.913 ,-166.748 ,1192.920 ,-311.854 ,411.737 ,-30.835 ,-286.228 
36.125 ,4266.997 ,90.459 ,-100.233 ,10426.031 ,-167.256 ,1194.602 ,-312.272 ,412.250 ,-30.913 ,-286.825 
36.167 ,4271.940 ,90.541 ,-100.366 ,10438.249 ,-166.716 ,1195.722 ,-311.990 ,412.687 ,-30.897 ,-286.955 
36.208 ,4276.850 ,90.581 ,-100.494 ,10450.445 ,-166.477 ,1196.796 ,-312.665 ,412.676 ,-31.776 ,-287.704 
36.250 ,4281.732 ,90.682 ,-100.616 ,10462.679 ,-166.851 ,1197.298 ,-312.538 ,412.695 ,-31.714 ,-287.530 
36.292 ,4286.697 ,90.796 ,-100.751 ,10474.834 ,-167.275 ,1197.824 ,-311.729 ,412.999 ,-31.377 ,-288.086 
36.333 ,4291.585 ,90.891 ,-100.887 ,10487.063 ,-167.413 ,1200.027 ,-312.397 ,413.875 ,-30.610 ,-288.491 
36.375 ,4296.489 ,90.980 ,-101.020 ,10499.208 ,-168.059 ,1200.103 ,-313.240 ,414.998 ,-30.200 ,-288.149 
36.417 ,4301.342 ,91.062 ,-101.169 ,10511.401 ,-167.993 ,1201.533 ,-313.883 ,415.730 ,-29.264 ,-289.315 
36.458 ,4306.320 ,91.170 ,-101.291 ,10523.560 ,-166.689 ,1201.533 ,-313.379 ,416.967 ,-29.731 ,-289.372 
36.500 ,4311.173 ,91.260 ,-101.400 ,10535.826 ,-166.632 ,1203.033 ,-313.718 ,418.082 ,-29.373 ,-289.188 
36.542 ,4316.118 ,91.379 ,-101.533 ,10548.028 ,-166.464 ,1204.077 ,-314.659 ,418.044 ,-29.858 ,-289.614 
36.583 ,4321.126 ,91.463 ,-101.619 ,10560.170 ,-166.911 ,1205.745 ,-314.966 ,418.831 ,-29.733 ,-289.302 
36.625 ,4325.935 ,91.610 ,-101.679 ,10572.469 ,-166.173 ,1206.697 ,-315.381 ,418.733 ,-29.899 ,-288.971 
36.667 ,4330.940 ,91.740 ,-101.752 ,10584.698 ,-166.830 ,1208.699 ,-315.798 ,419.222 ,-29.348 ,-289.277 
36.708 ,4335.891 ,91.848 ,-101.836 ,10596.948 ,-166.591 ,1210.270 ,-316.430 ,420.090 ,-29.514 ,-288.819 
36.750 ,4340.882 ,91.984 ,-101.945 ,10609.174 ,-167.022 ,1212.256 ,-316.704 ,419.799 ,-30.458 ,-289.215 
36.792 ,4345.757 ,92.103 ,-102.005 ,10621.441 ,-166.331 ,1212.711 ,-317.171 ,421.365 ,-30.466 ,-289.337 
36.833 ,4350.729 ,92.198 ,-102.110 ,10633.561 ,-165.875 ,1214.879 ,-317.808 ,421.953 ,-30.691 ,-289.242 
36.875 ,4355.631 ,92.304 ,-102.235 ,10645.765 ,-165.373 ,1217.263 ,-317.789 ,422.756 ,-31.597 ,-289.123 
36.917 ,4360.593 ,92.418 ,-102.308 ,10658.027 ,-165.614 ,1219.729 ,-317.570 ,423.502 ,-30.889 ,-289.765 
36.958 ,4365.595 ,92.529 ,-102.422 ,10670.242 ,-165.609 ,1222.260 ,-317.407 ,424.194 ,-30.851 ,-290.704 
37.000 ,4370.426 ,92.657 ,-102.485 ,10682.427 ,-165.148 ,1224.075 ,-318.148 ,424.983 ,-31.687 ,-290.332 
37.042 ,4375.450 ,92.781 ,-102.599 ,10694.708 ,-166.374 ,1225.526 ,-317.836 ,425.930 ,-32.533 ,-290.539 
37.083 ,4380.387 ,92.933 ,-102.691 ,10706.928 ,-165.954 ,1226.698 ,-318.373 ,425.982 ,-32.574 ,-290.970 
